,PCA,CE,MGA 1,MGA 2,MGA 4,MGA 8,MGA 17,MGA 19,MGA 30
Coal Steam CCS,61,0,0,0,0,0,0,0,0
Combined Cycle,61,0,0,0,0,0,0,0,0
Combined Cycle CCS,61,0,0,0,0,0,0,0,0
Nuclear,61,0,0,0,0.102235787,0.136765021,0,0,0.156884657
Battery Storage,61,39.56776596,52.99216198,72.83167274,75.89569434,75.91137457,76.97648256,70.96545826,74.46856376
Hydrogen,61,11.86285943,11.13721612,9.142310398,14.99163897,13.57413772,3.576795718,3.382007172,13.46721361
Coal Steam CCS,62,0,0,0,0,0,0,0,0
Combined Cycle,62,0,0,0,0,0,0,0,0
Combined Cycle CCS,62,0,0,0,0,0,0,0,0
Nuclear,62,0,0,0,0.192154494,0.175660465,0,0,0.209405006
Battery Storage,62,9.417420723,18.77708015,19.48160527,22.81260125,26.79361795,40.60814141,40.10316609,28.42932455
Hydrogen,62,1.386683841,2.292445993,2.149393656,2.85265453,3.012024846,2.840091508,2.535662388,3.545750715
Coal Steam CCS,60,0,0,0,0,0,0,0,0
Combined Cycle,60,0,0,0,0,0,0,0,0
Combined Cycle CCS,60,0,0,0,0,0,0,0,0
Nuclear,60,0,0,0,0.186921645,0.193059748,0,0,0.207112842
Battery Storage,60,10.05848461,18.14714173,19.66631859,22.41894022,27.10330804,45.22361056,41.46850063,28.86782277
Hydrogen,60,1.379497213,2.25464393,2.175796585,2.938771912,3.402282291,2.82906975,2.499185785,3.360735017
Coal Steam CCS,63,0,0,0,0,0,0,0,0
Combined Cycle,63,0,0,0,0,0,0,0,0
Combined Cycle CCS,63,0,0,0,0,0,0,0,0
Nuclear,63,0,0,0,0.613984859,0.588267754,0,0,0.557370903
Battery Storage,63,168.9751757,104.6833296,112.7976866,222.5457041,212.5531575,194.8882171,208.9734395,211.5305701
Hydrogen,63,26.91976944,29.22480677,25.01933736,27.86802712,27.82266085,21.41482902,21.52326425,27.82811087
Coal Steam CCS,64,0,0,0,0,0,0,0,0
Combined Cycle,64,0,0,0,0,0,0,0,0
Combined Cycle CCS,64,0,0,0,0,0,0,0,0
Nuclear,64,0,0,0.613647957,1.733508107,1.499573099,0,0,1.332455769
Battery Storage,64,43.92538357,22.24863014,12.86104187,25.13058662,29.47852835,134.1695125,133.2664518,30.58239793
Hydrogen,64,8.171707775,11.52526073,10.97682417,4.083530866,4.541874272,13.98980803,14.20545387,4.904359083
Coal Steam CCS,65,0,0,0,0,0,0,0,0
Combined Cycle,65,0,0,0,0,0,0,0,0
Combined Cycle CCS,65,0,0,0,0,0,0,0,0
